,Sampling1_SRS,Sampling2_Stratified,Sampling3_Systematic,Sampling4_Cluster,Sampling5_Bootstrap
M1_LogReg,0.915032679738562,0.9183006535947712,0.937908496732026,0.8856209150326797,0.9117647058823528
M2_DecisionTree,0.9640522875816994,0.954248366013072,0.9640522875816994,0.9673202614379084,0.9705882352941176
M3_RandomForest,0.9967320261437908,0.9967320261437908,0.9967320261437908,0.9183006535947712,0.9967320261437908
M4_GradBoost,0.9934640522875816,0.9934640522875816,0.9967320261437908,0.931372549019608,0.9901960784313726
M5_SVC,0.977124183006536,0.9738562091503268,0.9738562091503268,0.9117647058823528,0.9705882352941176
